X,Y,id,name,highway
-72.7365069,42.8460878,250136704,Ridge Trail,footway
-72.7366893,42.8460013,250136704,Ridge Trail,footway
-72.7367644,42.8459148,250136704,Ridge Trail,footway
-72.7368073,42.8457181,250136704,Ridge Trail,footway
-72.7368073,42.8456552,250136704,Ridge Trail,footway
-72.7369683,42.8455844,250136704,Ridge Trail,footway
-72.7371185,42.845545,250136704,Ridge Trail,footway
-72.7372365,42.845427,250136704,Ridge Trail,footway
-72.7373438,42.8452933,250136704,Ridge Trail,footway
-72.7375047,42.8452068,250136704,Ridge Trail,footway
-72.7375069,42.8450731,250136704,Ridge Trail,footway
-72.7376013,42.8449551,250136704,Ridge Trail,footway
-72.7376656,42.8448135,250136704,Ridge Trail,footway
-72.7377622,42.8447112,250136704,Ridge Trail,footway
-72.7378373,42.8446561,250136704,Ridge Trail,footway
-72.7378695,42.8445617,250136704,Ridge Trail,footway
-72.7378695,42.8444437,250136704,Ridge Trail,footway
-72.7379339,42.8443258,250136704,Ridge Trail,footway
-72.7379553,42.8442235,250136704,Ridge Trail,footway
-72.7380841,42.8440662,250136704,Ridge Trail,footway
-72.7382021,42.8439875,250136704,Ridge Trail,footway
-72.7382986,42.8439088,250136704,Ridge Trail,footway
-72.7383008,42.8437908,250136704,Ridge Trail,footway
-72.7382021,42.8436807,250136704,Ridge Trail,footway
-72.7381184,42.8435312,250136704,Ridge Trail,footway
-72.7381484,42.8434447,250136704,Ridge Trail,footway
-72.7383115,42.8432874,250136704,Ridge Trail,footway
-72.7384167,42.8431615,250136704,Ridge Trail,footway
-72.7385368,42.8430828,250136704,Ridge Trail,footway
-72.7386742,42.8429884,250136704,Ridge Trail,footway
-72.7388587,42.8429334,250136704,Ridge Trail,footway
-72.7390604,42.8428862,250136704,Ridge Trail,footway
-72.739114,42.8427682,250136704,Ridge Trail,footway
-72.739114,42.8425794,250136704,Ridge Trail,footway
-72.739114,42.8424614,250136704,Ridge Trail,footway
-72.7392428,42.8423984,250136704,Ridge Trail,footway
-72.7393308,42.8422568,250136704,Ridge Trail,footway
-72.7393823,42.8421231,250136704,Ridge Trail,footway
-72.7394466,42.8419736,250136704,Ridge Trail,footway
-72.7394574,42.8418556,250136704,Ridge Trail,footway
-72.7394574,42.8416668,250136704,Ridge Trail,footway
-72.7393823,42.8414308,250136704,Ridge Trail,footway
-72.7392857,42.8413443,250136704,Ridge Trail,footway
-72.7391033,42.8413443,250136704,Ridge Trail,footway
-72.7391569,42.8413443,250136704,Ridge Trail,footway
-72.7391033,42.8413443,250136704,Ridge Trail,footway
-72.7390067,42.8412578,250136704,Ridge Trail,footway
-72.7389531,42.8411476,250136704,Ridge Trail,footway
-72.7388673,42.8410611,250136704,Ridge Trail,footway
-72.7387063,42.8409667,250136704,Ridge Trail,footway
-72.738481,42.8409195,250136704,Ridge Trail,footway
-72.7383222,42.840888,250136704,Ridge Trail,footway
-72.7381592,42.8408644,250136704,Ridge Trail,footway
-72.7379875,42.8409038,250136704,Ridge Trail,footway
-72.7378373,42.8409195,250136704,Ridge Trail,footway
-72.7376656,42.8409038,250136704,Ridge Trail,footway
-72.7374961,42.8408802,250136704,Ridge Trail,footway
-72.7373545,42.8409588,250136704,Ridge Trail,footway
-72.737333,42.841124,250136704,Ridge Trail,footway
-72.7372386,42.8412971,250136704,Ridge Trail,footway
-72.7371399,42.8414544,250136704,Ridge Trail,footway
-72.7369683,42.8415882,250136704,Ridge Trail,footway
-72.7368073,42.8417848,250136704,Ridge Trail,footway
-72.7366893,42.8419028,250136704,Ridge Trail,footway
-72.7365391,42.842013,250136704,Ridge Trail,footway
-72.7364855,42.8421624,250136704,Ridge Trail,footway
-72.7362387,42.8423198,250136704,Ridge Trail,footway
-72.7360134,42.8424378,250136704,Ridge Trail,footway
-72.7358847,42.84254,250136704,Ridge Trail,footway
-72.735683,42.8426423,250136704,Ridge Trail,footway
-72.7354877,42.842776,250136704,Ridge Trail,footway
-72.735434,42.8428154,250136704,Ridge Trail,footway
-72.7352753,42.8428862,250136705,Old Oaks Trail,footway
-72.7353697,42.8428468,250136705,Old Oaks Trail,footway
-72.735198,42.8429491,250136705,Old Oaks Trail,footway
-72.7350049,42.8429491,250136705,Old Oaks Trail,footway
-72.7348225,42.8428862,250136705,Old Oaks Trail,footway
-72.7347689,42.8427682,250136705,Old Oaks Trail,footway
-72.7347259,42.842658,250136705,Old Oaks Trail,footway
-72.7346294,42.84254,250136705,Old Oaks Trail,footway
-72.7345114,42.8424614,250136705,Old Oaks Trail,footway
-72.7344577,42.8423827,250136705,Old Oaks Trail,footway
-72.7343397,42.8422804,250136705,Old Oaks Trail,footway
-72.7342989,42.8421467,250136705,Old Oaks Trail,footway
-72.734329,42.8419736,250136705,Old Oaks Trail,footway
-72.734329,42.8418478,250136705,Old Oaks Trail,footway
-72.7342431,42.8417455,250136705,Old Oaks Trail,footway
-72.7340414,42.8416511,250136705,Old Oaks Trail,footway
-72.7339105,42.8416118,250136705,Old Oaks Trail,footway
-72.7337711,42.8415095,250136705,Old Oaks Trail,footway
-72.7336423,42.8413836,250136705,Old Oaks Trail,footway
-72.7334921,42.8412735,250136705,Old Oaks Trail,footway
-72.7332883,42.8412971,250136705,Old Oaks Trail,footway
-72.7331059,42.8413364,250136705,Old Oaks Trail,footway
-72.7328827,42.8413522,250136705,Old Oaks Trail,footway
-72.7327325,42.8413915,250136705,Old Oaks Trail,footway
-72.7325265,42.8413443,250136705,Old Oaks Trail,footway
-72.7322583,42.841242,250136705,Old Oaks Trail,footway
-72.7320781,42.8411555,250136705,Old Oaks Trail,footway
-72.7319257,42.8410768,250136705,Old Oaks Trail,footway
-72.7318854,42.8410768,250136705,Old Oaks Trail,footway
-72.7316811,42.8410768,250136705,Old Oaks Trail,footway
-72.7315931,42.8412184,250136705,Old Oaks Trail,footway
-72.7314322,42.8412971,250136705,Old Oaks Trail,footway
-72.7313056,42.8414623,250136705,Old Oaks Trail,footway
-72.7310674,42.8415803,250136705,Old Oaks Trail,footway
-72.7308657,42.8417376,250136705,Old Oaks Trail,footway
-72.7307455,42.8419343,250136705,Old Oaks Trail,footway
-72.7306297,42.8421703,250136705,Old Oaks Trail,footway
-72.7306919,42.8423591,250136705,Old Oaks Trail,footway
-72.7307026,42.8425243,250136705,Old Oaks Trail,footway
