X,Y,name
-72.7376656,42.8409038,Ridge Trail
-72.7374961,42.8408802,Ridge Trail
-72.7373545,42.8409588,Ridge Trail
-72.737333,42.841124,Ridge Trail
-72.7372386,42.8412971,Ridge Trail
-72.7371399,42.8414544,Ridge Trail
-72.7369683,42.8415882,Ridge Trail
-72.7368073,42.8417848,Ridge Trail
-72.7366893,42.8419028,Ridge Trail
-72.7365391,42.842013,Ridge Trail
-72.7364855,42.8421624,Ridge Trail
-72.7362387,42.8423198,Ridge Trail
-72.7360134,42.8424378,Ridge Trail
-72.7358847,42.84254,Ridge Trail
-72.735683,42.8426423,Ridge Trail
-72.7354877,42.842776,Ridge Trail
-72.735434,42.8428154,Ridge Trail
-72.7352753,42.8428862,Old Oaks Trail
-72.7353697,42.8428468,Old Oaks Trail
-72.735198,42.8429491,Old Oaks Trail
-72.7350049,42.8429491,Old Oaks Trail
-72.7348225,42.8428862,Old Oaks Trail
-72.7347689,42.8427682,Old Oaks Trail
-72.7347259,42.842658,Old Oaks Trail
-72.7346294,42.84254,Old Oaks Trail
-72.7345114,42.8424614,Old Oaks Trail
-72.7344577,42.8423827,Old Oaks Trail
-72.7343397,42.8422804,Old Oaks Trail
-72.7342989,42.8421467,Old Oaks Trail
-72.734329,42.8419736,Old Oaks Trail
-72.734329,42.8418478,Old Oaks Trail
-72.7342431,42.8417455,Old Oaks Trail
-72.7340414,42.8416511,Old Oaks Trail
-72.7339105,42.8416118,Old Oaks Trail
-72.7337711,42.8415095,Old Oaks Trail
-72.7336423,42.8413836,Old Oaks Trail
-72.7334921,42.8412735,Old Oaks Trail
-72.7332883,42.8412971,Old Oaks Trail
-72.7331059,42.8413364,Old Oaks Trail
-72.7328827,42.8413522,Old Oaks Trail
-72.7327325,42.8413915,Old Oaks Trail
-72.7325265,42.8413443,Old Oaks Trail
-72.7322583,42.841242,Old Oaks Trail
-72.7320781,42.8411555,Old Oaks Trail
-72.7319257,42.8410768,Old Oaks Trail
-72.7318854,42.8410768,Old Oaks Trail
-72.7316811,42.8410768,Old Oaks Trail
-72.7315931,42.8412184,Old Oaks Trail
-72.7314322,42.8412971,Old Oaks Trail
-72.7313056,42.8414623,Old Oaks Trail
-72.7310674,42.8415803,Old Oaks Trail
-72.7308657,42.8417376,Old Oaks Trail
-72.7307455,42.8419343,Old Oaks Trail
-72.7306297,42.8421703,Old Oaks Trail
-72.7306919,42.8423591,Old Oaks Trail
-72.7307026,42.8425243,Old Oaks Trail
-72.7306383,42.8427131,Old Oaks Trail
-72.7306061,42.842894,Old Oaks Trail
-72.7305417,42.8430671,Old Oaks Trail
-72.73037,42.8431851,Old Oaks Trail
-72.7301018,42.8432638,Old Oaks Trail
-72.7299516,42.843366,Old Oaks Trail
-72.7298872,42.8434604,Old Oaks Trail
-72.7299409,42.8436728,Old Oaks Trail
-72.7299409,42.8437908,Old Oaks Trail
-72.7300589,42.8439324,Old Oaks Trail
-72.7301555,42.8441684,Old Oaks Trail
-72.7302842,42.8443258,Old Oaks Trail
-72.7303164,42.8445224,Old Oaks Trail
-72.7304773,42.8446011,Old Oaks Trail
-72.7306919,42.8446404,Old Oaks Trail
-72.7308957,42.8446404,Old Oaks Trail
-72.7310567,42.8445775,Old Oaks Trail
-72.7311747,42.844428,Old Oaks Trail
-72.7311747,42.8442864,Old Oaks Trail
-72.7311854,42.844137,Old Oaks Trail
-72.7311962,42.8439954,Old Oaks Trail
-72.7313378,42.8438695,Old Oaks Trail
-72.7315609,42.8437594,Old Oaks Trail
-72.7317755,42.8436807,Old Oaks Trail
-72.731915,42.8436807,Old Oaks Trail
-72.7319493,42.8437751,Old Oaks Trail
-72.7321081,42.8437908,Old Oaks Trail
-72.7322905,42.8438223,Old Oaks Trail
-72.7324192,42.8438931,Old Oaks Trail
-72.7325694,42.8440111,Old Oaks Trail
-72.7326767,42.8440898,Old Oaks Trail
-72.7328484,42.8441763,Old Oaks Trail
-72.7331166,42.8442078,Old Oaks Trail
-72.7333226,42.8442078,Old Oaks Trail
-72.7334278,42.8442156,Old Oaks Trail
-72.7334278,42.8444123,Old Oaks Trail
-72.7335565,42.8445224,Old Oaks Trail
-72.7336981,42.8446483,Old Oaks Trail
-72.7338569,42.8447741,Old Oaks Trail
-72.7338998,42.8448921,Old Oaks Trail
-72.7340178,42.8449787,Old Oaks Trail
-72.7341487,42.8450573,Old Oaks Trail
-72.7342539,42.8450731,Old Oaks Trail
-72.7343826,42.8452461,Old Oaks Trail
-72.7344577,42.8454034,Old Oaks Trail
-72.7345543,42.8454664,Old Oaks Trail
-72.7346637,42.8455765,Old Oaks Trail
-72.7348332,42.845663,Old Oaks Trail
-72.7350111,42.8456836,Old Oaks Trail
-72.7350371,42.8456866,Old Oaks Trail
-72.7334763,42.8516137,Town Trail
-72.7334666,42.8516436,Town Trail
-72.7334009,42.8516692,Town Trail
-72.7333774,42.851681,Town Trail
-72.733364,42.8517346,Town Trail
-72.7333587,42.8517572,Town Trail
-72.733309,42.8518599,Town Trail
-72.7332936,42.8518801,Town Trail
-72.7332695,42.8519445,Town Trail
-72.7332239,42.8520413,Town Trail
-72.7332091,42.8520866,Town Trail
-72.733183,42.8521293,Town Trail
-72.7331347,42.8522345,Town Trail
-72.7331072,42.8522739,Town Trail
-72.7330522,42.8524263,Town Trail
-72.733012,42.8525069,Town Trail
-72.7329697,42.8526607,Town Trail
-72.7329429,42.8528161,Town Trail
-72.7329449,42.8529316,Town Trail
-72.7329221,42.8530162,Town Trail
-72.7328511,42.8531533,Town Trail
-72.732784,42.8533244,Town Trail
-72.7327384,42.8534114,Town Trail
-72.732723,42.8534433,Town Trail
-72.7326787,42.8535564,Town Trail
-72.7326479,42.8536478,Town Trail
-72.7326144,42.8537058,Town Trail
-72.7325842,42.8537722,Town Trail
-72.7325553,42.8538543,Town Trail
-72.7325413,42.8538907,Town Trail
-72.732499,42.8539683,Town Trail
-72.7324742,42.8540391,Town Trail
-72.7324487,42.8540996,Town Trail
-72.7324011,42.8541468,Town Trail
-72.7323636,42.8542112,Town Trail
-72.7323267,42.8542618,Town Trail
-72.7323059,42.8542982,Town Trail
-72.732259,42.8543385,Town Trail
-72.7322067,42.8543764,Town Trail
-72.732153,42.8544009,Town Trail
-72.7321034,42.8544108,Town Trail
-72.7320618,42.8544216,Town Trail
-72.7319954,42.8544466,Town Trail
-72.7319405,42.8544904,Town Trail
-72.7318794,42.8545273,Town Trail
-72.7318171,42.854571,Town Trail
-72.7317245,42.8546207,Town Trail
-72.7316709,42.8546664,Town Trail
-72.7315864,42.8547205,Town Trail
-72.7314959,42.8547888,Town Trail
-72.7313819,42.8548768,Town Trail
-72.731337,42.8548905,Town Trail
-72.7312806,42.8549205,Town Trail
-72.7312183,42.8549643,Town Trail
-72.7312055,42.8549682,Town Trail
-72.7311458,42.855009,Town Trail
-72.7309836,42.8550714,Town Trail
-72.7309158,42.855096,Town Trail
-72.7308749,42.8551142,Town Trail
-72.7308273,42.8551329,Town Trail
-72.7307878,42.8551412,Town Trail
-72.7307677,42.8551658,Town Trail
-72.7306329,42.8552685,Town Trail
-72.7304813,42.8553855,Town Trail
-72.730476,42.85539,Town Trail
-72.7303144,42.8554907,Town Trail
-72.7301367,42.8555994,Town Trail
-72.7300958,42.855619,Town Trail
-72.7300341,42.8556593,Town Trail
-72.7299818,42.8556888,Town Trail
-72.7298946,42.8557513,Town Trail
-72.7298524,42.8558279,Town Trail
-72.7298081,42.8558756,Town Trail
-72.7297699,42.8559415,Town Trail
-72.729741,42.8560103,Town Trail
-72.7296988,42.8560521,Town Trail
-72.729619,42.856118,Town Trail
-72.7295338,42.856202,Town Trail
-72.7294601,42.856291,Town Trail
-72.7294353,42.856317,Town Trail
-72.7293937,42.8563362,Town Trail
-72.7293561,42.85638,Town Trail
-72.7293307,42.8564159,Town Trail
-72.7292918,42.8564458,Town Trail
-72.7292804,42.8564591,Town Trail
-72.729271,42.8564886,Town Trail
-72.7292033,42.8565668,Town Trail
-72.7291892,42.8565913,Town Trail
-72.7291168,42.8566887,Town Trail
-72.7290591,42.8567442,Town Trail
-72.7290296,42.8567884,Town Trail
-72.7290168,42.8568248,Town Trail
-72.7289974,42.8568494,Town Trail
-72.7289867,42.8568691,Town Trail
-72.7289511,42.8569128,Town Trail
-72.7289196,42.8569659,Town Trail
-72.7289002,42.8569826,Town Trail
-72.7288707,42.8570539,Town Trail
-72.7288324,42.8571021,Town Trail
-72.728813,42.8571532,Town Trail
-72.7288103,42.857165,Town Trail
-72.7287895,42.8572225,Town Trail
